deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
train_sandwip_0522.wav,2.7871132,2.0437267,2.89722,3.2040312,3.7693715,NISQAv2
train_sandwip_0523.wav,2.8941607,2.1827886,4.0883584,3.2550552,3.6207733,NISQAv2
train_sandwip_0524.wav,3.1474721,2.3062527,3.9620333,3.4349768,3.7735295,NISQAv2
train_sandwip_0525.wav,2.9313033,2.1623287,3.131816,3.1603508,3.8303068,NISQAv2
train_sandwip_0526.wav,2.9967663,2.058668,3.8763878,3.6666875,3.1676822,NISQAv2
train_sandwip_0527.wav,1.3648814,1.5805517,2.9652941,2.0668395,2.2940848,NISQAv2
train_sandwip_0528.wav,1.4775269,1.3601977,3.3616164,2.4780533,2.3046317,NISQAv2
train_sandwip_0529.wav,1.4838654,1.3674082,3.4791589,2.6656368,2.312759,NISQAv2
train_sandwip_0530.wav,1.2930046,1.3468294,2.9198189,1.9926071,2.2692683,NISQAv2
train_sandwip_0531.wav,1.3495566,1.4472245,2.533806,2.2963579,1.86314,NISQAv2
train_sandwip_0532.wav,1.3346156,1.4433291,2.7389915,2.212708,1.8771713,NISQAv2
train_sandwip_0533.wav,1.0323886,1.4221164,2.2131147,1.8904358,1.8311708,NISQAv2
train_sandwip_0534.wav,1.2887858,1.4758221,2.977295,2.2073824,2.006456,NISQAv2
train_sandwip_0535.wav,1.282889,1.3285913,2.4697173,2.1572335,2.160901,NISQAv2
train_sandwip_0536.wav,1.2628235,1.3577398,3.1202545,2.15652,2.2236412,NISQAv2
train_sandwip_0537.wav,1.2771047,1.5530212,3.0169322,2.0632296,1.9644526,NISQAv2
train_sandwip_0538.wav,1.3034337,1.4405344,2.6230202,2.07553,2.2579498,NISQAv2
train_sandwip_0539.wav,1.1026583,1.184748,2.6419952,2.1445715,1.8286011,NISQAv2
train_sandwip_0540.wav,1.1997169,1.3051903,3.1178505,2.2957804,2.238523,NISQAv2
train_sandwip_0541.wav,1.2222583,1.3183084,2.7098515,1.953896,2.1998765,NISQAv2
train_sandwip_0542.wav,1.4468004,1.4750012,3.4420817,2.3936243,2.0736692,NISQAv2
train_sandwip_0543.wav,1.4132006,1.7180604,2.5145202,2.2746468,1.9043286,NISQAv2
train_sandwip_0544.wav,1.44224,1.4922732,3.3205867,2.3851626,1.9416437,NISQAv2
train_sandwip_0545.wav,1.1420739,1.3717915,2.350298,2.0618021,2.1409705,NISQAv2
train_sandwip_0546.wav,1.1545427,1.3850808,2.2281065,2.0399444,2.3148282,NISQAv2
train_sandwip_0547.wav,1.2664711,1.3795302,2.7469075,2.235025,2.1479368,NISQAv2
train_sandwip_0548.wav,1.1525983,1.4735764,3.2788928,2.2382388,2.2401087,NISQAv2
train_sandwip_0549.wav,0.889253,1.3063564,1.9492545,1.6313102,1.8531848,NISQAv2
train_sandwip_0550.wav,0.9726603,1.2843481,2.7513504,1.976723,1.8566661,NISQAv2
train_sandwip_0551.wav,0.9986917,1.432835,2.1969042,1.8200212,1.8533926,NISQAv2
train_sandwip_0552.wav,1.039486,1.3959974,2.2944903,1.7970185,1.8903221,NISQAv2
train_sandwip_0553.wav,0.9162879,1.3398666,2.3354352,1.8032565,1.9234551,NISQAv2
train_sandwip_0554.wav,1.0499113,1.3730987,2.4191372,1.9093667,2.0680487,NISQAv2
train_sandwip_0555.wav,0.9376164,1.3883582,3.0257552,2.2326715,1.9369576,NISQAv2
train_sandwip_0556.wav,0.60783434,1.3549248,1.5477126,1.5291255,1.5517211,NISQAv2
train_sandwip_0557.wav,1.1971654,1.4044111,2.8951519,2.0222704,2.009713,NISQAv2
train_sandwip_0558.wav,1.2553647,1.5259876,3.3306339,2.3520758,2.0269985,NISQAv2
train_sandwip_0559.wav,1.2919223,1.3846387,2.849995,1.9122716,2.2643929,NISQAv2
train_sandwip_0560.wav,1.6935931,1.7265188,2.8891048,2.1878896,2.2621934,NISQAv2
train_sandwip_0561.wav,2.364258,1.9110153,3.68735,3.093628,3.0883996,NISQAv2
train_sandwip_0562.wav,2.4017246,1.9312239,3.841083,3.2737613,3.019851,NISQAv2
train_sandwip_0563.wav,2.1850052,1.8179233,2.8751912,2.452715,2.8765619,NISQAv2
train_sandwip_0564.wav,2.2317023,2.28657,3.630044,2.6736708,2.2977178,NISQAv2
train_sandwip_0565.wav,2.399886,2.3081157,3.6295257,2.730994,2.4416642,NISQAv2
train_sandwip_0566.wav,2.1054714,1.9036067,2.8546681,2.2661724,2.6705134,NISQAv2
train_sandwip_0567.wav,1.6972004,1.664994,3.0950947,2.1292877,2.1781363,NISQAv2
train_sandwip_0568.wav,2.1410537,1.9804242,3.502187,2.7997699,2.647378,NISQAv2
train_sandwip_0569.wav,2.7924316,2.0974495,3.8956068,3.5466173,3.6125846,NISQAv2
train_sandwip_0570.wav,2.3890457,1.9394349,3.4242034,2.65814,2.965174,NISQAv2
train_sandwip_0571.wav,2.6309087,2.032726,3.7398272,3.1792324,3.1932192,NISQAv2
train_sandwip_0572.wav,2.3646445,1.9618617,2.665431,2.5983598,3.1750515,NISQAv2
train_sandwip_0573.wav,2.3528254,1.8438052,2.7070522,2.4187856,3.0510743,NISQAv2
train_sandwip_0574.wav,2.395215,2.2748778,3.1711726,2.590487,3.018238,NISQAv2
train_sandwip_0575.wav,2.6855376,2.2192807,3.473989,2.813631,3.3640304,NISQAv2
train_sandwip_0576.wav,2.204621,2.206699,3.130278,2.561412,2.5740163,NISQAv2
train_sandwip_0577.wav,2.1764185,2.129592,3.4299636,2.5994396,2.6303446,NISQAv2
train_sandwip_0578.wav,2.220982,1.8397897,3.6282907,3.1735203,3.3427274,NISQAv2
train_sandwip_0579.wav,1.7383767,2.1810381,2.059675,2.067688,2.6432562,NISQAv2
train_sandwip_0580.wav,2.475869,1.9208038,2.9615135,2.7099698,3.2488358,NISQAv2
train_sandwip_0581.wav,2.9750514,1.7720815,4.083341,3.7227283,3.6155636,NISQAv2
train_sandwip_0582.wav,2.4722474,1.8589393,3.915413,3.4840298,2.7317433,NISQAv2
train_sandwip_0583.wav,2.4921315,2.0116794,3.8650024,3.2060971,3.2575347,NISQAv2
train_sandwip_0584.wav,2.651337,2.3329413,3.431638,2.6435678,3.2844603,NISQAv2
train_sandwip_0585.wav,2.0759826,2.3374846,3.7102878,2.5543985,2.1949608,NISQAv2
train_sandwip_0586.wav,2.4863493,1.9698884,3.5339935,2.8507612,2.9674082,NISQAv2
train_sandwip_0587.wav,2.2080867,2.042485,2.6532984,2.4711776,2.8130827,NISQAv2
train_sandwip_0588.wav,2.1969018,1.6561612,2.207412,2.4025202,3.018845,NISQAv2
train_sandwip_0589.wav,2.5267622,1.9468337,3.191664,2.8020186,3.037557,NISQAv2
train_sandwip_0590.wav,2.3004744,2.077625,3.6114035,2.526028,2.8215902,NISQAv2
train_sandwip_0591.wav,2.5244875,2.0044782,2.4826503,2.4409602,3.0489752,NISQAv2
train_sandwip_0592.wav,2.4275663,2.09853,3.907765,2.7768304,2.9063108,NISQAv2
train_sandwip_0593.wav,2.1211052,2.2157965,3.5987308,2.4974551,2.3595023,NISQAv2
train_sandwip_0594.wav,2.2083998,2.1032078,3.340862,2.6120715,2.996515,NISQAv2
train_sandwip_0595.wav,2.4889815,2.2572515,3.7215114,2.665984,3.007284,NISQAv2
train_sandwip_0596.wav,1.8462089,1.9225427,3.7320013,2.8093243,2.3485613,NISQAv2
train_sandwip_0597.wav,1.6444225,1.8918706,3.6049428,2.4565263,2.0533717,NISQAv2
